,SNP,CHR_igv,BP,EFFECTSIZE,SE,P,snps_class_up,snps_class_down,locus_id,GENE,sgd_id
86,87,I,113050,-0.167868807848119,0.143798772552771,0.243842078216283,ORF,Verified ORF,YAL021C,CCR4,SGDID:S000000019
87,88,I,113135,-0.123603411201035,0.143558449926276,0.38982406532434,ORF,Verified ORF,YAL021C,CCR4,SGDID:S000000019
88,89,I,114076,0.0514934854368775,0.143682973542152,0.720271195145201,ORF,Verified ORF,YAL020C,ATS1,SGDID:S000000018
89,90,I,114628,0.0363157269263587,0.14405970275991,0.801119728531689,ORF,Dubious ORF,YAL019W-A,YAL019W-A,SGDID:S000028729
90,91,I,116283,0.0151103963307302,0.144871754359964,0.916989021128214,ORF,Verified ORF,YAL019W,FUN30,SGDID:S000000017
91,92,I,126880,-4.8338288343964,2.70604750495565,0.0749078740666598,Close to 3'-UTR,Close to 3'-UTR,YAL016W,TPD3,SGDID:S000000014
92,93,I,127853,-0.0211373861649895,0.144599871117716,0.883863951035134,ORF,Verified ORF,YAL015C,NTG1,SGDID:S000000013
93,94,I,128302,0.0009572265274114,0.144048791632809,0.994701726309482,ORF,Verified ORF,YAL014C,SYN8,SGDID:S000000012
94,95,I,128704,-0.0284192153325181,0.144184256613687,0.843860016429929,ORF,Verified ORF,YAL014C,SYN8,SGDID:S000000012
95,96,I,128911,-0.0181518639464097,0.144204912897779,0.899902145225751,ORF,Verified ORF,YAL014C,SYN8,SGDID:S000000012
96,97,I,130267,-0.165589420389932,0.143870090928985,0.250525709796433,ORF,Verified ORF,YAL013W,DEP1,SGDID:S000000011
97,98,I,130271,-0.167297327673343,0.144035895446652,0.246224422822208,ORF,Verified ORF,YAL013W,DEP1,SGDID:S000000011
98,99,I,130613,-0.0990606579488537,0.145563989105621,0.496615054936037,Promoter,Promoter,YAL012W_NFR/NDR,,
99,100,I,132012,-0.14434080571546,0.145147097372274,0.320687437749826,Promoter,Promoter,YAL011W_NFR/NDR,,
100,101,I,133231,-0.0999127540239772,0.144220857669386,0.488905618152083,ORF,Verified ORF,YAL011W,SWC3,SGDID:S000000009
101,102,I,137074,-0.0474574750571782,0.144091476784286,0.742081520262643,ORF,Verified ORF,YAL008W,FUN14,SGDID:S000000006
102,103,I,137304,-0.103841210253447,0.144057722572503,0.471490853231403,ORF,Verified ORF,YAL008W,FUN14,SGDID:S000000006
103,104,I,139686,-0.136954397284476,0.144168998358664,0.342783854134982,ORF,Verified ORF,YAL005C,SSA1,SGDID:S000000004
104,105,I,149562,-0.136026847930718,0.144501218471574,0.347167054874405,ORF,Verified ORF,YAL001C,TFC3,SGDID:S000000001
105,106,I,150447,-0.0819969282919608,0.146222218464487,0.575310585719178,ORF,Verified ORF,YAL001C,TFC3,SGDID:S000000001
106,107,I,151446,0.0699413640603339,0.293861837695275,0.812013255192901,Promoter,Promoter,YAL001C_NFR/NDR,,
107,108,I,154084,-0.106940084750501,0.146628853471078,0.466286532535934,ORF,Verified ORF,YAR002C-A,ERP1,SGDID:S000002129
108,109,I,156633,-0.0637421143425997,0.148712365416862,0.668456227398079,Close to 3'-UTR,Close to 3'-UTR,YAR003W,SWD1,SGDID:S000000064
109,110,I,157269,-0.158329191954655,0.143829420827242,0.271728436901305,ORF,Verified ORF,YAR007C,RFA1,SGDID:S000000065
110,111,I,160054,-0.0744012389477516,0.145391001258713,0.60915850083406,Other features,Replication,ARS109,ARS101,SGDID:S000077372
111,112,I,166222,-0.0572270909476081,0.14433703713741,0.691988775972072,Promoter,Promoter,tA(UGC)A_NFR/NDR,,
112,113,I,166416,-0.0604105456816161,0.144040197501943,0.675178494869683,Close to 3'-UTR,Close to 3'-UTR,YAR010C,YAR010C,SGDID:S000000068
113,114,I,167326,-0.089893434060299,0.144815782101845,0.535169073443129,ORF,Verified ORF,YAR014C,BUD14,SGDID:S000000069
114,115,I,168836,-0.100577613289596,0.144108755761258,0.485681349718508,ORF,Verified ORF,YAR014C,BUD14,SGDID:S000000069
115,116,I,171200,-0.121260609618463,0.144279829088369,0.401222588758775,ORF,Verified ORF,YAR018C,KIN3,SGDID:S000000071
116,117,I,171431,-0.110718082766471,0.145206231392676,0.446277690456327,ORF,Verified ORF,YAR018C,KIN3,SGDID:S000000071
117,118,I,173339,-0.112626299235935,0.144070954562487,0.434890291859122,ORF,Verified ORF,YAR019C,CDC15,SGDID:S000000072
118,119,I,173845,-0.0700057279151036,0.144027891552045,0.62722851978397,ORF,Verified ORF,YAR019C,CDC15,SGDID:S000000072
119,120,I,175121,-0.125351038623694,0.143635551262364,0.383418733308922,ORF,Verified ORF,YAR019C,CDC15,SGDID:S000000072
120,121,I,175281,-0.0978327777707568,0.143818401815642,0.496790707164049,ORF,Dubious ORF,YAR019W-A,YAR019W-A,SGDID:S000028735
121,122,I,175315,-0.105525094956412,0.14375765755701,0.463406444415158,ORF,Dubious ORF,YAR019W-A,YAR019W-A,SGDID:S000028735
122,123,I,175523,-0.0985625822600356,0.144587341650471,0.495887067665317,Close to 3'-UTR,Close to 3'-UTR,YAR019C,CDC15,SGDID:S000000072
123,124,I,175541,-0.101965864880261,0.143989760562142,0.47932152252285,Close to 3'-UTR,Close to 3'-UTR,YAR019C,CDC15,SGDID:S000000072
124,125,I,175653,-0.105920543605183,0.144437975485766,0.463844563571422,Close to 3'-UTR,Close to 3'-UTR,YAR019C,CDC15,SGDID:S000000072
125,126,I,175805,-0.0634465491507825,0.152686250795491,0.678002447183594,Close to 3'-UTR,Close to 3'-UTR,YAR019C,CDC15,SGDID:S000000072
126,127,I,175818,-0.0863468496603597,0.149144148158842,0.562992841610827,Close to 3'-UTR,Close to 3'-UTR,YAR019C,CDC15,SGDID:S000000072
127,128,I,175856,-0.0981893417285226,0.146841296109439,0.504138812689807,Close to 3'-UTR,Close to 3'-UTR,YAR019C,CDC15,SGDID:S000000072
128,129,I,175876,-0.104100834662825,0.144576345780001,0.471976496021267,Close to 3'-UTR,Close to 3'-UTR,YAR019C,CDC15,SGDID:S000000072
129,130,I,175989,-0.0990181110828072,0.14499953614044,0.495126977826436,Close to 3'-UTR,Close to 3'-UTR,YAR019C,CDC15,SGDID:S000000072
130,131,I,176001,-0.0953779341443534,0.145762954247714,0.513321495613046,Close to 3'-UTR,Close to 3'-UTR,YAR019C,CDC15,SGDID:S000000072
131,132,I,176451,-0.0709486583762588,0.147556212913246,0.630939029075584,Close to 3'-UTR,Close to 3'-UTR,YAR020C,PAU7,SGDID:S000000073
132,133,I,177692,-0.157485145710107,0.143622944382684,0.27359961886589,Close to 3'-UTR,Close to 3'-UTR,YAR020C,PAU7,SGDID:S000000073
133,134,I,178191,-0.176727786698911,0.143702659684522,0.219585136113386,Intergenic region,Intergenic region,A:177024-179280,,
134,135,I,178224,-0.157485145710107,0.143622944382684,0.27359961886589,Intergenic region,Intergenic region,A:177024-179280,,
135,136,I,178960,-0.173900110491357,0.14472069996082,0.230314125761713,Close to 3'-UTR,Close to 3'-UTR,YAR023C,YAR023C,SGDID:S000000074
136,137,I,179139,-0.224563211647752,0.287169595255864,0.434745754809371,Close to 3'-UTR,Close to 3'-UTR,YAR023C,YAR023C,SGDID:S000000074
137,138,I,179139,-0.65682908807901,0.577811511562766,0.256412547240877,Close to 3'-UTR,Close to 3'-UTR,YAR023C,YAR023C,SGDID:S000000074
138,139,I,180955,0.0244641892521469,0.166533204643761,0.883292626566007,Intergenic region,Intergenic region,A:179821-181140,,
139,140,I,183802,-0.036253120854558,0.143872510443098,0.801202489746163,ORF,Verified ORF,YAR027W,UIP3,SGDID:S000000075
140,141,I,183954,-0.029385183082087,0.144924537471668,0.839437909014654,ORF,Verified ORF,YAR027W,UIP3,SGDID:S000000075
141,142,I,184450,0.0006597630020457,0.143663995523339,0.996338399371036,ORF,Verified ORF,YAR027W,UIP3,SGDID:S000000075
142,143,I,184641,0.0547045354453884,0.147816058375643,0.711540951863311,Close to 3'-UTR,Close to 3'-UTR,YAR027W,UIP3,SGDID:S000000075
143,144,I,184718,-0.0168825643980264,0.144477465466076,0.907043330086733,Promoter,Promoter,YAR028W_NFR/NDR,,
144,145,I,185296,-0.0256722655559229,0.143860844294557,0.858470328017282,ORF,Uncharacterized ORF,YAR028W,YAR028W,SGDID:S000000076
145,146,I,185438,-0.0271345452329088,0.143866877012212,0.85050789434465,ORF,Uncharacterized ORF,YAR028W,YAR028W,SGDID:S000000076
146,147,I,185469,-0.0247331351563981,0.144075751320724,0.863797244251747,ORF,Uncharacterized ORF,YAR028W,YAR028W,SGDID:S000000076
147,148,I,185503,-8.35848128407368e-05,0.143709110432727,0.999536258954705,ORF,Uncharacterized ORF,YAR028W,YAR028W,SGDID:S000000076
148,149,I,185705,-0.012326974906845,0.145313777789515,0.932444593525179,Promoter,Promoter,YAR029W_NFR/NDR,,
149,150,I,185749,-0.0262557999777585,0.145308539321738,0.856714600233558,Promoter,Promoter,YAR029W_NFR/NDR,,
150,151,I,185806,-0.0955756490929196,0.145420347689165,0.511456755539704,Promoter,Promoter,YAR029W_NFR/NDR,,
151,152,I,185879,-0.0473809908900373,0.146190663701486,0.746051188076597,Promoter,Promoter,YAR029W_NFR/NDR,,
152,153,I,185916,0.0188742355747241,0.14614246161525,0.897312855612629,Promoter,Promoter,YAR029W_NFR/NDR,,
153,154,I,185941,0.018957779545927,0.146779078725698,0.897305717224911,Promoter,Promoter,YAR029W_NFR/NDR,,
154,155,I,185954,0.0208574380841748,0.147207029922529,0.887407449919743,Promoter,Promoter,YAR029W_NFR/NDR,,
155,156,I,186055,-0.001040905819727,0.144273167881347,0.994247527141672,Promoter,Promoter,YAR029W_NFR/NDR,,
156,157,I,186896,-0.0379738082910249,0.146624559882257,0.795796472022885,ORF,Verified ORF,YAR031W,PRM9,SGDID:S000000078
157,158,I,187697,-0.119676099431402,0.298987927473806,0.689199285433717,ORF,Verified ORF,YAR031W,PRM9,SGDID:S000000078
158,159,I,189392,-0.310177493867249,0.300170042008495,0.302152565705421,Close to 3'-UTR,Close to 3'-UTR,YAR033W,MST28,SGDID:S000000079
159,160,I,189416,-0.0421570073688393,0.290789990760303,0.884814086261915,Promoter,Promoter,YARWdelta7_NFR/NDR,,
160,161,I,190132,0.173123630783731,0.144162007221786,0.230596583588982,Close to 3'-UTR,Close to 3'-UTR,YAR035W,YAT1,SGDID:S000000080
161,162,I,190148,0.193744132515994,0.144131338497833,0.179740693333768,Close to 3'-UTR,Close to 3'-UTR,YAR035W,YAT1,SGDID:S000000080
162,163,I,190165,0.183792859259565,0.145281158902608,0.206675716581217,Close to 3'-UTR,Close to 3'-UTR,YAR035W,YAT1,SGDID:S000000080
163,164,I,190169,0.182487457101232,0.145103836148427,0.209355640459833,Close to 3'-UTR,Close to 3'-UTR,YAR035W,YAT1,SGDID:S000000080
164,165,I,190933,0.0579533540785145,0.144216227238044,0.688037287173028,ORF,Verified ORF,YAR035W,YAT1,SGDID:S000000080
165,166,I,192149,0.407001721864448,0.143806111433378,0.0049179152360709,ORF,Verified ORF,YAR035W,YAT1,SGDID:S000000080
166,167,I,192302,-0.0428197422377226,0.192007114850513,0.823655757523357,Close to 3'-UTR,Close to 3'-UTR,YAR035W,YAT1,SGDID:S000000080
167,168,I,192303,0.0101564194392827,0.173371836745824,0.953318423248772,Close to 3'-UTR,Close to 3'-UTR,YAR035W,YAT1,SGDID:S000000080
168,169,I,192305,-0.0082323806250288,0.180164335614505,0.963580198862016,Close to 3'-UTR,Close to 3'-UTR,YAR035W,YAT1,SGDID:S000000080
169,170,I,192315,-0.0229991052474601,0.204377429554873,0.910465158845088,Close to 3'-UTR,Close to 3'-UTR,YAR035W,YAT1,SGDID:S000000080
170,171,I,192795,0.312176858471708,0.143014165806646,0.0297060631335661,ORF,Verified ORF,YAR042W,SWH1,SGDID:S000000081
171,172,I,194020,0.0696957618072734,0.151604903739193,0.646000424418478,ORF,Verified ORF,YAR042W,SWH1,SGDID:S000000081
172,173,I,194187,0.111661271588912,0.143972799709754,0.438521004673479,ORF,Verified ORF,YAR042W,SWH1,SGDID:S000000081
173,174,I,194867,-0.0590850788322521,0.143982655161725,0.681789022581841,ORF,Verified ORF,YAR042W,SWH1,SGDID:S000000081
174,175,I,197325,-0.102971689876633,0.147429391002404,0.485357240987053,Intergenic region,Intergenic region,A:196186-201466,,
175,176,I,197392,-0.112814777913774,0.149306889074258,0.45039898758009,Intergenic region,Intergenic region,A:196186-201466,,
176,177,I,198857,-0.537717884220189,0.689968141181032,0.43630322878648,Unstable transcript,SUT,SUT004,,
177,178,I,206666,-0.188565914176913,0.1616582704997,0.244220921711145,ORF,Verified ORF,YAR050W,FLO1,SGDID:S000000084
178,179,I,206675,-0.119199609727789,0.210774668536287,0.572071917001143,ORF,Verified ORF,YAR050W,FLO1,SGDID:S000000084
179,180,I,223051,-0.155337752666525,0.166690989052356,0.352030015319117,Other features,Replication,ARS112,ARS112,SGDID:S000121257
180,181,I,223059,-0.277677615272304,0.172672043712265,0.108702569413163,Other features,Replication,ARS112,ARS112,SGDID:S000121257
181,182,II,7366,-0.0997079541934518,0.208810151566939,0.633297867263507,Close to 3'-UTR,Close to 3'-UTR,YBL108C-A,PAU9,SGDID:S000007592
182,183,II,8180,0.273896709861939,0.287211100832845,0.340917193706891,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
183,184,II,8187,0.478321472222378,0.297970165775979,0.109329408262352,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
184,185,II,8250,0.423214789301852,0.29376892594953,0.150573236868876,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
185,186,II,8253,0.457835606592946,0.293621817959158,0.119828607063361,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
186,187,II,8285,0.264531771621735,0.159113977620189,0.0972941716491619,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
187,188,II,8302,0.251087726787097,0.148924378058489,0.0926778198716451,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
188,189,II,8306,0.251087726787097,0.148924378058489,0.0926778198716451,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
189,190,II,8314,0.26418077461863,0.145778885057949,0.0708045235972614,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
190,191,II,8317,0.239214992801038,0.149253431761679,0.109885640467182,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
191,192,II,8328,0.219394727212141,0.148667453675618,0.140904717681926,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
192,193,II,8331,0.219969101664254,0.148383827225725,0.139117247914958,ORF,Dubious ORF,YBL108W,YBL108W,SGDID:S000000204
193,194,II,8498,0.222247228025848,0.145761746958076,0.128221981708769,Close to 3'-UTR,Close to 3'-UTR,YBL108C-A,PAU9,SGDID:S000007592
194,195,II,8651,0.220485501115099,0.145906694544405,0.131647325574801,Close to 3'-UTR,Close to 3'-UTR,YBL108C-A,PAU9,SGDID:S000007592
195,196,II,9418,-0.126818507315565,0.372215937126914,0.733522941727915,Other features,LTR,YBLWdelta2,YBLWdelta2,SGDID:S000006799
196,197,II,9812,0.189106917930273,0.146903208152544,0.198836885619724,Close to 3'-UTR,Close to 3'-UTR,YBL107W-A,YBL107W-A,SGDID:S000007229
197,198,II,9932,0.183098758127249,0.146343141588846,0.211704482049815,Promoter,Promoter,XUT_2F-2_NFR/NDR,,
198,199,II,10135,0.162746187028321,0.145848584590805,0.265242301385712,ORF,Verified ORF,YBL107C,MIX23,SGDID:S000000203
199,200,II,11616,0.224441033551139,0.145460813376465,0.123735076119178,Unstable transcript,XUT,XUT_2F-2,,
200,201,II,12133,0.200490659633572,0.146141650519897,0.17096808795662,Unstable transcript,XUT,XUT_2F-2,,
201,202,II,12194,0.221915553742477,0.146622371980066,0.131043004145301,Unstable transcript,XUT,XUT_2F-2,,
202,203,II,12359,0.200018493323968,0.146280387602272,0.172381331131203,Unstable transcript,XUT,XUT_2F-2,,
203,204,II,13061,0.201662947657185,0.146263168803261,0.168839415268856,Unstable transcript,XUT,XUT_2F-2,,
204,205,II,14298,0.199123890238433,0.146736887313501,0.17564408522665,ORF,Verified ORF,YBL105C,PKC1,SGDID:S000000201
